Name,Description,Range,Default
MAV_0_RADIO_CTL,"If enabled, MAVLink messages will be throttled according to `txbuf` field reported by radio_status. Requires a radio to send the mavlink message RADIO_STATUS.",,1
MAV_0_RATE,"Configure the maximum sending rate for the MAVLink streams in Bytes/sec. If the configured streams exceed the maximum rate, the sending rate of each stream is automatically decreased. If this is set to 0 a value of half of the theoretical maximum bandwidth is used. This corresponds to baudrate/20 Bytes/s (baudrate/10 = maximum data rate on 8N1-configured links).",min:0,1200
MAV_0_REMOTE_PRT,"If ethernet enabled and selected as configuration for MAVLink instance 0, selected remote port will be set and used in MAVLink instance 0.",,14550
MAV_0_UDP_PRT,"If ethernet enabled and selected as configuration for MAVLink instance 0, selected udp port will be set and used in MAVLink instance 0.",,14556
MAV_1_BROADCAST,This allows a ground control station to automatically find the drone on the local network.,,0
MAV_1_FLOW_CTRL,This is used to force flow control on or off for the the mavlink instance. By default it is auto detected. Use when auto detction fails.,,2
MAV_1_FORWARD,"If enabled, forward incoming MAVLink messages to other MAVLink ports if the message is either broadcast or the target is not the autopilot. This allows for example a GCS to talk to a camera that is connected to the autopilot via MAVLink (on a different link than the GCS).",,0
MAV_1_MODE,The MAVLink Mode defines the set of streamed messages (for example the vehicle's attitude) and their sending rates.,,2
MAV_1_RADIO_CTL,"If enabled, MAVLink messages will be throttled according to `txbuf` field reported by radio_status. Requires a radio to send the mavlink message RADIO_STATUS.",,1
MAV_1_RATE,"Configure the maximum sending rate for the MAVLink streams in Bytes/sec. If the configured streams exceed the maximum rate, the sending rate of each stream is automatically decreased. If this is set to 0 a value of half of the theoretical maximum bandwidth is used. This corresponds to baudrate/20 Bytes/s (baudrate/10 = maximum data rate on 8N1-configured links).",min:0,0
MAV_1_REMOTE_PRT,"If ethernet enabled and selected as configuration for MAVLink instance 1, selected remote port will be set and used in MAVLink instance 1.",,0
MAV_1_UDP_PRT,"If ethernet enabled and selected as configuration for MAVLink instance 1, selected udp port will be set and used in MAVLink instance 1.",,0
MAV_2_BROADCAST,This allows a ground control station to automatically find the drone on the local network.,,0
MAV_2_FLOW_CTRL,This is used to force flow control on or off for the the mavlink instance. By default it is auto detected. Use when auto detction fails.,,2
MAV_2_FORWARD,"If enabled, forward incoming MAVLink messages to other MAVLink ports if the message is either broadcast or the target is not the autopilot. This allows for example a GCS to talk to a camera that is connected to the autopilot via MAVLink (on a different link than the GCS).",,0
MAV_2_MODE,The MAVLink Mode defines the set of streamed messages (for example the vehicle's attitude) and their sending rates.,,0
MAV_2_RADIO_CTL,"If enabled, MAVLink messages will be throttled according to `txbuf` field reported by radio_status. Requires a radio to send the mavlink message RADIO_STATUS.",,1
MAV_2_RATE,"Configure the maximum sending rate for the MAVLink streams in Bytes/sec. If the configured streams exceed the maximum rate, the sending rate of each stream is automatically decreased. If this is set to 0 a value of half of the theoretical maximum bandwidth is used. This corresponds to baudrate/20 Bytes/s (baudrate/10 = maximum data rate on 8N1-configured links).",min:0,0
MAV_2_REMOTE_PRT,"If ethernet enabled and selected as configuration for MAVLink instance 2, selected remote port will be set and used in MAVLink instance 2.",,0
MAV_2_UDP_PRT,"If ethernet enabled and selected as configuration for MAVLink instance 2, selected udp port will be set and used in MAVLink instance 2.",,0
MAV_COMP_ID,MAVLink component ID,1 250,1
MAV_FWDEXTSP,If set to 1 incoming external setpoint messages will be directly forwarded to the controllers if in offboard control mode,,1
MAV_HASH_CHK_EN,Disabling the parameter hash check functionality will make the mavlink instance stream parameters continuously.,,1
MAV_HB_FORW_EN,The mavlink heartbeat message will not be forwarded if this parameter is set to 'disabled'. The main reason for disabling heartbeats to be forwarded is because they confuse dronekit.,,1
MAV_ODOM_LP,"If set, it gets the data from 'vehicle_visual_odometry' instead of 'vehicle_odometry' serving as a loopback of the received ODOMETRY messages on the Mavlink receiver.",,0
MAV_PROTO_VER,MAVLink protocol version,,0
MAV_RADIO_TOUT,"If the connected radio stops reporting RADIO_STATUS for a certain time, a warning is triggered and, if MAV_X_RADIO_CTL is enabled, the software-flow control is reset.",1 250,5
MAV_SIK_RADIO_ID,When non-zero the MAVLink app will attempt to configure the SiK radio to this ID and re-set the parameter to 0. If the value is negative it will reset the complete radio config to factory defaults. Only applies if this mavlink instance is going through a SiK radio,-1 240,0
MAV_SYS_ID,MAVLink system ID,1 250,1
MAV_TYPE,MAVLink airframe type,0 22,0
MAV_USEHILGPS,If set to 1 incoming HIL GPS messages are parsed.,,0
MBE_ENABLE,This enables continuous calibration of the magnetometers before takeoff using gyro data.,,1
MBE_LEARN_GAIN,Increase to make the estimator more responsive Decrease to make the estimator more robust to noise,0.1 100,18.
MAN_ARM_GESTURE,This determines if moving the left stick to the lower right arms and to the lower left disarms the vehicle.,,1
FW_GPSF_LT,The time in seconds the system should do open loop loiter and wait for GPS recovery before it starts descending. Set to 0 to disable. Roll angle is set to FW_GPSF_R. Does only apply for fixed-wing vehicles or VTOLs with NAV_FORCE_VT set to 0.,0 3600,30
FW_GPSF_R,Roll in degrees during the loiter after the vehicle has lost GPS in an auto mode (e.g. mission or loiter). Does only apply for fixed-wing vehicles or VTOLs with NAV_FORCE_VT set to 0.,0.0 30.0,15.0
MIS_DIST_1WP,Failsafe check to prevent running mission stored from previous flight at a new takeoff location. Set a value of zero or less to disable. The mission will not be started if the current waypoint is more distant than MIS_DIST_1WP from the home position.,0 10000,900
MIS_DIST_WPS,Failsafe check to prevent running missions which are way too big. Set a value of zero or less to disable. The mission will not be started if any distance between two subsequent waypoints is greater than MIS_DIST_WPS.,0 10000,900
MIS_LTRMIN_ALT,"This is the minimum altitude the system will always obey. The intent is to stay out of ground effect. set to -1, if there shouldn't be a minimum loiter altitude",-1 80,-1.0
MIS_MNT_YAW_CTL,"If enabled, yaw commands will be sent to the mount and the vehicle will follow its heading towards the flight direction. If disabled, the vehicle will yaw towards the ROI.",0 1,0
MIS_TAKEOFF_ALT,This is the minimum altitude the system will take off to.,0 80,2.5
MIS_TAKEOFF_REQ,"If set, the mission feasibility checker will check for a takeoff waypoint on the mission.",,0
MIS_YAW_ERR,Max yaw error in degrees needed for waypoint heading acceptance,0 90,12.0
MIS_YAW_TMT,If set > 0 it will ignore the target heading for normal waypoint acceptance. If the waypoint forces the heading the timeout will matter. For example on VTOL forwards transition. Mainly useful for VTOLs that have less yaw authority and might not reach target yaw in wind. Disabled by default.,-1 20,-1.0
MPC_YAW_MODE,Specifies the heading in Auto.,0 4,0
NAV_ACC_RAD,"Default acceptance radius, overridden by acceptance radius of waypoint if set. For fixed wing the L1 turning distance is used for horizontal acceptance.",0.05 200.0,10.0
NAV_FORCE_VT,Force VTOL mode takeoff and land,,1
NAV_FW_ALTL_RAD,Altitude acceptance used for the last waypoint before a fixed-wing landing. This is usually smaller than the standard vertical acceptance because close to the ground higher accuracy is required.,0.05 200.0,5.0
NAV_FW_ALT_RAD,Acceptance radius for fixedwing altitude.,0.05 200.0,10.0
NAV_LOITER_RAD,"Default value of loiter radius for missions, Hold mode, Return mode, etc. (fixedwing only).",25 1000,50.0
NAV_MC_ALT_RAD,Acceptance radius for multicopter altitude.,0.05 200.0,0.8
NAV_TRAFF_AVOID,Enabling this will allow the system to respond to transponder data from e.g. ADSB transponders,,1
NAV_TRAFF_A_RADM,Defines the Radius where NAV TRAFFIC AVOID is Called For Manned Aviation,min:500,500
NAV_TRAFF_A_RADU,Defines the Radius where NAV TRAFFIC AVOID is Called For Unmanned Aviation,10 500,10
MC_AIRMODE,The air-mode enables the mixer to increase the total thrust of the multirotor in order to keep attitude and rate control even at low and high throttle. This function should be disabled during tuning as it will help the controller to diverge if the closed-loop is unstable (i.e. the vehicle is not tuned yet). Enabling air-mode for yaw requires the use of an arming switch.,,0
MOT_ORDERING,"Determines the motor ordering. This can be used for example in combination with a 4-in-1 ESC that assumes a motor ordering which is different from PX4. ONLY supported for Quads. When changing this, make sure to test the motor response without props first.",,0
MNT_DO_STAB,"Set to true for servo gimbal, false for passthrough. This is required for a gimbal which is not capable of stabilizing itself and relies on the IMU's attitude estimation.",0 2,0
MNT_LND_P_MAX,Pitch maximum when landed,-90.0 90.0,90.0
MNT_LND_P_MIN,Pitch minimum when landed,-90.0 90.0,-90.0
MNT_MAN_PITCH,Auxiliary channel to control pitch (in AUX input or manual mode),0 6,0
MNT_MAN_ROLL,Auxiliary channel to control roll (in AUX input or manual mode),0 6,0
MNT_MAN_YAW,Auxiliary channel to control yaw (in AUX input or manual mode),0 6,0
MNT_MAV_COMPID,"If MNT_MODE_OUT is MAVLink protocol v2, mount configure/control commands will be sent with this component ID.",,154
MNT_MAV_SYSID,"If MNT_MODE_OUT is MAVLink gimbal protocol v1, mount configure/control commands will be sent with this target ID.",,1
MNT_MODE_IN,"This is the protocol used between the ground station and the autopilot. Recommended is Auto, RC only or MAVLink gimbal protocol v2. The rest will be deprecated.",-1 4,-1
MNT_MODE_OUT,This is the protocol used between the autopilot and a connected gimbal. Recommended is the MAVLink gimbal protocol v2 if the gimbal supports it.,0 2,0
MNT_OB_LOCK_MODE,if required for the gimbal (only in AUX output mode),-1.0 1.0,0.0
MNT_OB_NORM_MODE,if required by the gimbal (only in AUX output mode),-1.0 1.0,-1.0
MNT_OFF_PITCH,Offset for pitch channel output in degrees,-360.0 360.0,0.0
MNT_OFF_ROLL,Offset for roll channel output in degrees,-360.0 360.0,0.0
MNT_OFF_YAW,Offset for yaw channel output in degrees,-360.0 360.0,0.0
MNT_RANGE_PITCH,Range of pitch channel output in degrees (only in AUX output mode),1.0 720.0,90.0
MNT_RANGE_ROLL,Range of roll channel output in degrees (only in AUX output mode),1.0 720.0,90.0
MNT_RANGE_YAW,Range of yaw channel output in degrees (only in AUX output mode),1.0 720.0,360.0
MNT_RATE_PITCH,Full stick input [-1..1] translats to [-pitch rate..pitch rate].,1.0 90.0,30.0
MNT_RATE_YAW,Full stick input [-1..1] translats to [-yaw rate..yaw rate].,1.0 90.0,30.0
MNT_RC_IN_MODE,Input mode for RC gimbal input,0 1,1
MC_PITCHRATE_MAX,"Limit for pitch rate in manual and auto modes (except acro). Has effect for large rotations in autonomous mode, to avoid large control output and mixer saturation. This is not only limited by the vehicle's properties, but also by the maximum measurement rate of the gyro.",0.0 1800.0,220.0
MC_PITCH_P,"Pitch proportional gain, i.e. desired angular speed in rad/s for error 1 rad.",0.0 12,6.5
MC_ROLLRATE_MAX,"Limit for roll rate in manual and auto modes (except acro). Has effect for large rotations in autonomous mode, to avoid large control output and mixer saturation. This is not only limited by the vehicle's properties, but also by the maximum measurement rate of the gyro.",0.0 1800.0,220.0
MC_ROLL_P,"Roll proportional gain, i.e. desired angular speed in rad/s for error 1 rad.",0.0 12,6.5
MC_YAWRATE_MAX,Max yaw rate,0.0 1800.0,200.0
MC_YAW_P,"Yaw proportional gain, i.e. desired angular speed in rad/s for error 1 rad.",0.0 5,2.8
MC_YAW_WEIGHT,"A fraction [0,1] deprioritizing yaw compared to roll and pitch in non-linear attitude control. Deprioritizing yaw is necessary because multicopters have much less control authority in yaw compared to the other axes and it makes sense because yaw is not critical for stable hovering or 3D navigation. For yaw control tuning use MC_YAW_P. This ratio has no inpact on the yaw gain.",0.0 1.0,0.4
MPC_YAWRAUTO_MAX,Limit the rate of change of the yaw setpoint in autonomous mode to avoid large control output and mixer saturation.,0.0 360.0,45.0
CP_DELAY,Only used in Position mode.,0 1,0.4
CP_DIST,Only used in Position mode. Collision avoidance is disabled by setting this parameter to a negative value,-1 15,-1.0
CP_GO_NO_DATA,Only used in Position mode.,,0
CP_GUIDE_ANG,Only used in Position mode.,0 90,30.
MC_MAN_TILT_TAU,Setting this parameter to 0 disables the filter,0.0 2.0,0.0
MPC_ACC_DOWN_MAX,Maximum vertical acceleration in velocity controlled modes down,2.0 15.0,3.0
MPC_ACC_HOR,"Note: In manual, this parameter is only used in MPC_POS_MODE 4.",2.0 15.0,3.0
MPC_ACC_HOR_MAX,MPC_POS_MODE 1 just deceleration 3 acceleration and deceleration 4 just acceleration,2.0 15.0,5.0
MPC_ACC_UP_MAX,Maximum vertical acceleration in velocity controlled modes upward,2.0 15.0,4.0
MPC_ALT_MODE,Set to 0 to control height relative to the earth frame origin. This origin may move up and down in flight due to sensor drift. Set to 1 to control height relative to estimated distance to ground. The vehicle will move up and down with terrain height variation. Requires a distance to ground sensor. The height controller will revert to using height above origin if the distance to ground estimate becomes invalid as indicated by the local_position.distance_bottom_valid message being false. Set to 2 to control height relative to ground (requires a distance sensor) when stationary and relative to earth frame origin when moving horizontally. The speed threshold is controlled by the MPC_HOLD_MAX_XY parameter.,0 2,0
MPC_HOLD_DZ,Deadzone of sticks where position hold is enabled,0.0 1.0,0.1
MPC_HOLD_MAX_XY,Maximum horizontal velocity for which position hold is enabled (use 0 to disable check),0.0 3.0,0.8
MPC_HOLD_MAX_Z,Maximum vertical velocity for which position hold is enabled (use 0 to disable check),0.0 3.0,0.6
MPC_JERK_AUTO,"Limit the maximum jerk of the vehicle (how fast the acceleration can change). A lower value leads to smoother vehicle motions, but it also limits its agility.",1.0 80.0,4.0
MPC_JERK_MAX,"Limit the maximum jerk of the vehicle (how fast the acceleration can change). A lower value leads to smoother vehicle motions, but it also limits its agility (how fast it can change directions or break). Setting this to the maximum value essentially disables the limit. Note: This is only used when MPC_POS_MODE is set to a smoothing mode 3 or 4.",0.5 500.0,8.0
MPC_LAND_ALT1,"Below this altitude descending velocity gets limited to a value between ""MPC_Z_VEL_MAX_DN"" (or ""MPC_Z_V_AUTO_DN"") and ""MPC_LAND_SPEED"" Value needs to be higher than ""MPC_LAND_ALT2""",0 122,10.0
MPC_LAND_ALT2,"Below this altitude descending velocity gets limited to ""MPC_LAND_SPEED"" Value needs to be lower than ""MPC_LAND_ALT1""",0 122,5.0
MPC_LAND_ALT3,"Below this altitude descending velocity gets limited to ""MPC_LAND_CRWL"", if LIDAR available. No effect if LIDAR not available",0 122,1.0
MPC_LAND_CRWL,Land crawl descend rate. Used below,min:0.3,0.3
MPC_LAND_SPEED,Landing descend rate,min:0.6,0.7
MPC_MANTHR_MIN,"Minimum vertical thrust. It's recommended to set it > 0 to avoid free fall with zero thrust. With MC_AIRMODE set to 1, this can safely be set to 0.",0.0 1.0,0.08
MPC_MAN_TILT_MAX,Maximal tilt angle in manual or altitude mode,0.0 90.0,35.0
MPC_MAN_Y_MAX,Max manual yaw rate,0.0 400,150.0
MPC_MAN_Y_TAU,Setting this parameter to 0 disables the filter,0.0 5.0,0.08
MPC_POS_MODE,The supported sub-modes are: 0 Simple position control where sticks map directly to velocity setpoints without smoothing. Useful for velocity control tuning. 3 Smooth position control with maximum acceleration and jerk limits based on jerk optimized trajectory generator (different algorithm than 1). 4 Smooth position control where sticks map to acceleration and there's a virtual brake drag,,4
MPC_SPOOLUP_TIME,For altitude controlled modes the time from arming the motors until a takeoff is possible gets forced to be at least MPC_SPOOLUP_TIME seconds to ensure the motors and propellers can sppol up and reach idle speed before getting commanded to spin faster. This delay is particularly useful for vehicles with slow motor spin-up e.g. because of large propellers.,0 10,1.0
MPC_THR_CURVE,"This parameter defines how the throttle stick input is mapped to commanded thrust in Manual/Stabilized flight mode. In case the default is used ('Rescale to hover thrust'), the stick input is linearly rescaled, such that a centered stick corresponds to the hover throttle (see MPC_THR_HOVER). Select 'No Rescale' to directly map the stick 1:1 to the output. This can be useful in case the hover thrust is very low and the default would lead to too much distortion (e.g. if hover thrust is set to 20%, 80% of the upper thrust range is squeezed into the upper half of the stick range). Note: In case MPC_THR_HOVER is set to 50%, the modes 0 and 1 are the same.",,0
MPC_THR_HOVER,"Vertical thrust required to hover. This value is mapped to center stick for manual throttle control. With this value set to the thrust required to hover, transition from manual to Altitude or Position mode while hovering will occur with the throttle stick near center, which is then interpreted as (near) zero demand for vertical speed. This parameter is also important for the landing detection to work correctly.",0.1 0.8,0.5
MPC_THR_MAX,Limit max allowed thrust,0.0 1.0,1.0
MPC_THR_MIN,It's recommended to set it > 0 to avoid free fall with zero thrust. Note: Without airmode zero thrust leads to zero roll/pitch control authority. (see MC_AIRMODE),0.05 1.0,0.12
MPC_THR_XY_MARG,Margin that is kept for horizontal control when prioritizing vertical thrust. To avoid completely starving horizontal control with high vertical error.,0.0 0.5,0.3
MPC_TILTMAX_AIR,Limits maximum tilt in AUTO and POSCTRL modes during flight.,20.0 89.0,45.0
MPC_TILTMAX_LND,Limits maximum tilt angle on landing.,10.0 89.0,12.0
MPC_TKO_RAMP_T,Increasing this value will make automatic and manual takeoff slower. If it's too slow the drone might scratch the ground and tip over. A time constant of 0 disables the ramp,0 5,3.0
MPC_TKO_SPEED,Takeoff climb rate,1 5,1.5
MPC_USE_HTE,Set false to use the fixed parameter MPC_THR_HOVER Set true to use the value computed by the hover thrust estimator,,1
MPC_VELD_LP,Low pass filter cut freq. for numerical velocity derivative,0.0 10,5.0
MPC_VEL_MANUAL,"If velocity setpoint larger than MPC_XY_VEL_MAX is set, then the setpoint will be capped to MPC_XY_VEL_MAX",3.0 20.0,10.0
MPC_XY_CRUISE,"Horizontal velocity used when flying autonomously in e.g. Missions, RTL, Goto.",3.0 20.0,5.0
MPC_XY_ERR_MAX,"The integration speed of the trajectory setpoint is linearly reduced with the horizontal position tracking error. When the error is above this parameter, the integration of the trajectory is stopped to wait for the drone. This value can be adjusted depending on the tracking capabilities of the vehicle.",0.1 10.0,2.0
MPC_XY_MAN_EXPO,The higher the value the less sensitivity the stick has around zero while still reaching the maximum value with full stick deflection. 0 Purely linear input curve (default) 1 Purely cubic input curve,0 1,0.6
MPC_XY_P,Proportional gain for horizontal position error,0.0 2.0,0.95
MPC_XY_TRAJ_P,Proportional gain for horizontal trajectory position error,0.1 1.0,0.5
MPC_XY_VEL_ALL,"If set to a value greater than zero, other parameters are automatically set (such as MPC_XY_VEL_MAX or MPC_VEL_MANUAL). If set to a negative value, the existing individual parameters are used.",-20 20,-10.0
MPC_XY_VEL_D_ACC,defined as correction acceleration in m/s^2 per m/s^2 velocity derivative,0.1 2.0,0.2
MPC_XY_VEL_I_ACC,defined as correction acceleration in m/s^2 per m velocity integral Non-zero value allows to eliminate steady state errors in the presence of disturbances like wind.,0.0 60.0,0.4
MPC_XY_VEL_MAX,Maximum horizontal velocity in AUTO mode. If higher speeds are commanded in a mission they will be capped to this velocity.,0.0 20.0,12.0
MPC_XY_VEL_P_ACC,defined as correction acceleration in m/s^2 per m/s velocity error,1.2 5.0,1.8
MPC_YAW_EXPO,The higher the value the less sensitivity the stick has around zero while still reaching the maximum value with full stick deflection. 0 Purely linear input curve (default) 1 Purely cubic input curve,0 1,0.6
MPC_Z_MAN_EXPO,The higher the value the less sensitivity the stick has around zero while still reaching the maximum value with full stick deflection. 0 Purely linear input curve (default) 1 Purely cubic input curve,0 1,0.6
MPC_Z_P,Proportional gain for vertical position error,0.0 1.5,1.0
MPC_Z_VEL_ALL,"If set to a value greater than zero, other parameters are automatically set (such as MPC_Z_VEL_MAX_UP or MPC_LAND_SPEED). If set to a negative value, the existing individual parameters are used.",-3 8,-3.0
MPC_Z_VEL_D_ACC,defined as correction acceleration in m/s^2 per m/s^2 velocity derivative,0.0 2.0,0.0
MPC_Z_VEL_I_ACC,defined as correction acceleration in m/s^2 per m velocity integral Non zero value allows hovering thrust estimation on stabilized or autonomous takeoff.,0.2 3.0,2.0
MPC_Z_VEL_MAX_DN,"Descent velocity in manual modes and offboard. For auto modes, see MPC_Z_V_AUTO_DN",0.5 4.0,1.
MPC_Z_VEL_MAX_UP,"Ascent velocity in manual modes and offboard. For auto modes, see MPC_Z_V_AUTO_UP",0.5 8.0,3.
MPC_Z_VEL_P_ACC,defined as correction acceleration in m/s^2 per m/s velocity error,2.0 15.0,4.0
MPC_Z_V_AUTO_DN,"Descent velocity in auto modes. For manual modes and offboard, see MPC_Z_VEL_MAX_DN",0.5 4.0,1.
MPC_Z_V_AUTO_UP,"Ascent velocity in auto modes. For manual modes and offboard, see MPC_Z_VEL_MAX_UP",0.5 8.0,3.
SYS_VEHICLE_RESP,"Changes the overall responsiveness of the vehicle. The higher the value, the faster the vehicle will react. If set to a value greater than zero, other parameters are automatically set (such as the acceleration or jerk limits). If set to a negative value, the existing individual parameters are used.",-1 1,-0.4
WV_EN,Enable weathervane,,0
WV_ROLL_MIN,Minimum roll angle setpoint for weathervane controller to demand a yaw-rate,0 5,1.0
WV_YRATE_MAX,Maximum yawrate the weathervane controller is allowed to demand,0 120,90.0
MC_ACRO_EXPO,Exponential factor for tuning the input curve shape. 0 Purely linear input curve 1 Purely cubic input curve,0 1,0.69
MC_ACRO_EXPO_Y,Exponential factor for tuning the input curve shape. 0 Purely linear input curve 1 Purely cubic input curve,0 1,0.69
MC_ACRO_P_MAX,default: 2 turns per second,0.0 1800.0,720.0
MC_ACRO_R_MAX,default: 2 turns per second,0.0 1800.0,720.0
MC_ACRO_SUPEXPO,SuperExpo factor for refining the input curve shape tuned using MC_ACRO_EXPO. 0 Pure Expo function 0.7 resonable shape enhancement for intuitive stick feel 0.95 very strong bent input curve only near maxima have effect,0 0.95,0.7
MC_ACRO_SUPEXPOY,SuperExpo factor for refining the input curve shape tuned using MC_ACRO_EXPO_Y. 0 Pure Expo function 0.7 resonable shape enhancement for intuitive stick feel 0.95 very strong bent input curve only near maxima have effect,0 0.95,0.7
MC_ACRO_Y_MAX,default 1.5 turns per second,0.0 1800.0,540.0
MC_BAT_SCALE_EN,"This compensates for voltage drop of the battery over time by attempting to normalize performance across the operating range of the battery. The copter should constantly behave as if it was fully charged with reduced max acceleration at lower battery percentages. i.e. if hover is at 0.5 throttle at 100% battery, it will still be 0.5 at 60% battery.",,0
MC_PITCHRATE_D,Pitch rate differential gain. Small values help reduce fast oscillations. If value is too big oscillations will appear again.,min:0.0,0.003
MC_PITCHRATE_FF,Improves tracking performance.,min:0.0,0.0
MC_PITCHRATE_I,Pitch rate integral gain. Can be set to compensate static thrust difference or gravity center offset.,min:0.0,0.2
MC_PITCHRATE_K,"Global gain of the controller. This gain scales the P, I and D terms of the controller: output = MC_PITCHRATE_K * (MC_PITCHRATE_P * error + MC_PITCHRATE_I * error_integral + MC_PITCHRATE_D * error_derivative) Set MC_PITCHRATE_P=1 to implement a PID in the ideal form. Set MC_PITCHRATE_K=1 to implement a PID in the parallel form.",0.01 5.0,1.0
MC_PITCHRATE_P,"Pitch rate proportional gain, i.e. control output for angular speed error 1 rad/s.",0.01 0.6,0.15
MC_PR_INT_LIM,Pitch rate integrator limit. Can be set to increase the amount of integrator available to counteract disturbances or reduced to improve settling time after large pitch moment trim changes.,min:0.0,0.30
MC_ROLLRATE_D,Roll rate differential gain. Small values help reduce fast oscillations. If value is too big oscillations will appear again.,0.0 0.01,0.003
MC_ROLLRATE_FF,Improves tracking performance.,min:0.0,0.0
MC_ROLLRATE_I,Roll rate integral gain. Can be set to compensate static thrust difference or gravity center offset.,min:0.0,0.2
MC_ROLLRATE_K,"Global gain of the controller. This gain scales the P, I and D terms of the controller: output = MC_ROLLRATE_K * (MC_ROLLRATE_P * error + MC_ROLLRATE_I * error_integral + MC_ROLLRATE_D * error_derivative) Set MC_ROLLRATE_P=1 to implement a PID in the ideal form. Set MC_ROLLRATE_K=1 to implement a PID in the parallel form.",0.01 5.0,1.0
MC_ROLLRATE_P,"Roll rate proportional gain, i.e. control output for angular speed error 1 rad/s.",0.01 0.5,0.15
MC_RR_INT_LIM,Roll rate integrator limit. Can be set to increase the amount of integrator available to counteract disturbances or reduced to improve settling time after large roll moment trim changes.,min:0.0,0.30
MC_YAWRATE_D,Yaw rate differential gain. Small values help reduce fast oscillations. If value is too big oscillations will appear again.,min:0.0,0.0
MC_YAWRATE_FF,Improves tracking performance.,min:0.0,0.0
MC_YAWRATE_I,Yaw rate integral gain. Can be set to compensate static thrust difference or gravity center offset.,min:0.0,0.1
MC_YAWRATE_K,"Global gain of the controller. This gain scales the P, I and D terms of the controller: output = MC_YAWRATE_K * (MC_YAWRATE_P * error + MC_YAWRATE_I * error_integral + MC_YAWRATE_D * error_derivative) Set MC_YAWRATE_P=1 to implement a PID in the ideal form. Set MC_YAWRATE_K=1 to implement a PID in the parallel form.",0.0 5.0,1.0
MC_YAWRATE_P,"Yaw rate proportional gain, i.e. control output for angular speed error 1 rad/s.",0.0 0.6,0.2
MC_YR_INT_LIM,Yaw rate integrator limit. Can be set to increase the amount of integrator available to counteract disturbances or reduced to improve settling time after large yaw moment trim changes.,min:0.0,0.30
MOT_SLEW_MAX,Minimum time allowed for the motor input signal to pass through a range of 1000 PWM units. A value x means that the motor signal can only go from 1000 to 2000 PWM in minimum x seconds. Zero means that slew rate limiting is disabled.,min:0.0,0.0
PWM_AUX_DISARM,This is the PWM pulse the autopilot is outputting if not armed. The main use of this parameter is to silence ESCs when they are disarmed.,0 2200,1500
PWM_AUX_MAX,Set to 2000 for industry default or 2100 to increase servo travel.,1600 2200,2000
PWM_AUX_MIN,Set to 1000 for industry default or 900 to increase servo travel.,800 1400,1000
PWM_AUX_OUT,"Number representing the channels e.g. 134 - Channel 1, 3 and 4. Global e.g. PWM_AUX_MIN/MAX/DISARM limits only apply to these channels.",0 123456789,0
PWM_AUX_RATE,Set to 400 for industry default or 1000 for high frequency ESCs. Set to 0 for Oneshot125.,-1 2000,50
PWM_AUX_RATE1,Set the default PWM output frequency for the aux outputs,0 400,50
PWM_AUX_REV1,"Enable to invert the channel. Warning: Use this parameter when connected to a servo only. For a brushless motor, invert manually two phases to reverse the direction.",,0
PWM_AUX_REV2,"Enable to invert the channel. Warning: Use this parameter when connected to a servo only. For a brushless motor, invert manually two phases to reverse the direction.",,0
PWM_AUX_REV3,"Enable to invert the channel. Warning: Use this parameter when connected to a servo only. For a brushless motor, invert manually two phases to reverse the direction.",,0
PWM_AUX_REV4,"Enable to invert the channel. Warning: Use this parameter when connected to a servo only. For a brushless motor, invert manually two phases to reverse the direction.",,0
PWM_AUX_REV5,"Enable to invert the channel. Warning: Use this parameter when connected to a servo only. For a brushless motor, invert manually two phases to reverse the direction.",,0
PWM_AUX_REV6,"Enable to invert the channel. Warning: Use this parameter when connected to a servo only. For a brushless motor, invert manually two phases to reverse the direction.",,0
PWM_AUX_REV7,"Enable to invert the channel. Warning: Use this parameter when connected to a servo only. For a brushless motor, invert manually two phases to reverse the direction.",,0
PWM_AUX_REV8,"Enable to invert the channel. Warning: Use this parameter when connected to a servo only. For a brushless motor, invert manually two phases to reverse the direction.",,0
PWM_AUX_TRIM1,Set to normalized offset,-0.2 0.2,0
PWM_AUX_TRIM2,Set to normalized offset,-0.2 0.2,0
PWM_AUX_TRIM3,Set to normalized offset,-0.2 0.2,0
PWM_AUX_TRIM4,Set to normalized offset,-0.2 0.2,0
PWM_AUX_TRIM5,Set to normalized offset,-0.2 0.2,0
PWM_AUX_TRIM6,Set to normalized offset,-0.2 0.2,0
PWM_AUX_TRIM7,Set to normalized offset,-0.2 0.2,0
PWM_AUX_TRIM8,Set to normalized offset,-0.2 0.2,0
PWM_EXTRA_DIS1,This is the PWM pulse the autopilot is outputting if not armed. When set to -1 the value for PWM_EXTRA_DISARM will be used,-1 2150,-1
PWM_EXTRA_DIS2,This is the PWM pulse the autopilot is outputting if not armed. When set to -1 the value for PWM_EXTRA_DISARM will be used,-1 2150,-1
PWM_EXTRA_DIS3,This is the PWM pulse the autopilot is outputting if not armed. When set to -1 the value for PWM_EXTRA_DISARM will be used,-1 2150,-1
PWM_EXTRA_DIS4,This is the PWM pulse the autopilot is outputting if not armed. When set to -1 the value for PWM_EXTRA_DISARM will be used,-1 2150,-1
PWM_EXTRA_DIS5,This is the PWM pulse the autopilot is outputting if not armed. When set to -1 the value for PWM_EXTRA_DISARM will be used,-1 2150,-1
